Time [sec]	T [mK]	RawT_loc/T_c	FawT_loc/T_c	T_mc/Tc
0.0	0.4276596460559098	0.465684603121275	0.46034407541002126	0.45873187075264316
4.0	0.42790646214551026	0.46060975473144267	0.46060975473144267	0.4587454306071844
8.0	0.42884733419896776	0.4625087483048935	0.4616225341216014	0.4587589904617257
13.0	0.4292045558276519	0.462007056865072	0.462007056865072	0.45877594027990226
17.0	0.4292045558276519	0.46629925101435205	0.462007056865072	0.45878950013444353
21.0	0.4295956057245295	0.4648282448794778	0.4624279932449187	0.4588030599889848
25.0	0.4296706271752461	0.46628805850432936	0.4625087483048935	0.45881661984352606
29.0	0.4297877964562829	0.46263487239642936	0.46263487239642936	0.45883017969806733
34.0	0.4300539023657376	0.4716121222632648	0.46292131578658513	0.45884712951624396
38.0	0.43071699155592225	0.4624279932449187	0.4636350824068054	0.4588606893707852
42.0	0.4309660940680068	0.47192224491372015	0.4639032228934411	0.4588742492253265
46.0	0.4312104736498231	0.46292131578658513	0.4641662794938892	0.45888780907986776
51.0	0.4312104736498231	0.4616225341216014	0.4641662794938892	0.45890475889804433
55.0	0.4312104736498231	0.4694872909097483	0.4641662794938892	0.4589183187525856
59.0	0.4312408725705982	0.46034407541002126	0.4641990016906331	0.45893187860712686
63.0	0.43129020904833393	0.4648805055270346	0.46425210877108064	0.45894543846166813
68.0	0.43129020904833393	0.46481043689211426	0.46425210877108064	0.4589623882798447
72.0	0.43129020904833393	0.46489874993285885	0.46425210877108064	0.45897594813438597
76.0	0.43141836720166116	0.4636350824068054	0.4643900615733704	0.45898950798892724
80.0	0.4315181648040363	0.4594595655899414	0.4644974863337312	0.4590030678434685
85.0	0.4315181648040363	0.4641662794938892	0.4644974863337312	0.4590200176616451
89.0	0.43141836720166116	0.46425210877108064	0.4643900615733704	0.45903357751618634
93.0	0.43141836720166116	0.4641990016906331	0.4643900615733704	0.4590471373707276
97.0	0.43144350485338123	0.4644974863337312	0.46441712040191735	0.4590606972252689
101.0	0.43141836720166116	0.4639032228934411	0.4643900615733704	0.45907425707981014
106.0	0.43144350485338123	0.4657933414769492	0.46441712040191735	0.45909120689798677
110.0	0.43141836720166116	0.4664496482739578	0.4643900615733704	0.4591047667525281
114.0	0.43144350485338123	0.4634296711004371	0.46441712040191735	0.45911832660706936
118.0	0.4315181648040363	0.4635205470837172	0.4644974863337312	0.4591318864616106
122.0	0.43144350485338123	0.4667746474813834	0.46441712040191735	0.4591454463161519
127.0	0.43144350485338123	0.46536660199527224	0.46441712040191735	0.45916239613432847
131.0	0.43144350485338123	0.4643900615733704	0.46441712040191735	0.45917595598886973
135.0	0.43144350485338123	0.4638441623420282	0.46441712040191735	0.459189515843411
139.0	0.43144350485338123	0.4678079898200377	0.46441712040191735	0.45920307569795227
144.0	0.43144350485338123	0.4648804697297017	0.46441712040191735	0.45922002551612884
148.0	0.43144350485338123	0.4659624331390293	0.46441712040191735	0.4592335853706701
152.0	0.4315181648040363	0.4615390287394717	0.4644974863337312	0.4592471452252114
156.0	0.43152775388905784	0.46441712040191735	0.4645078082767038	0.45926070507975264
161.0	0.43152775388905784	0.46498525011757863	0.4645078082767038	0.4592776548979292
165.0	0.4318739563788929	0.46348154594017166	0.4648804697297017	0.4592912147524705
169.0	0.4318739563788929	0.46521552884706346	0.4648804697297017	0.45930477460701175
173.0	0.4318739563788929	0.4629788225775471	0.4648804697297017	0.459318334461553
178.0	0.43152775388905784	0.4662570027935083	0.4645078082767038	0.45933528427972964
182.0	0.4318739563788929	0.4658354779673967	0.4648804697297017	0.4593488441342709
186.0	0.43197129735923057	0.4638528339419294	0.46498525011757863	0.4593624039888122
190.0	0.43197129735923057	0.4621919172536638	0.46498525011757863	0.45937596384335344
195.0	0.4318739563788929	0.46546096630411793	0.4648804697297017	0.45939291366153
199.0	0.4318739563788929	0.46596886170950824	0.4648804697297017	0.4594064735160713
203.0	0.4318739563788929	0.467831018413174	0.4648804697297017	0.45942003337061255
207.0	0.4318739563788929	0.4642685538741685	0.4648804697297017	0.4594335932251538
211.0	0.43152775388905784	0.4627385331560964	0.4645078082767038	0.4594471530796951
216.0	0.43144350485338123	0.46510427052717174	0.46441712040191735	0.45946410289787165
220.0	0.43152775388905784	0.4645078082767038	0.4645078082767038	0.4594776627524129
224.0	0.43197129735923057	0.46381467944945687	0.46498525011757863	0.4594912226069542
228.0	0.4320818673197426	0.4658613121064648	0.46510427052717174	0.45950478246149545
233.0	0.4320818673197426	0.46254609273248354	0.46510427052717174	0.4595217322796721
237.0	0.43152775388905784	0.4654127332373621	0.4645078082767038	0.45953529213421335
241.0	0.4315615412614872	0.46426857241683184	0.46454417789180535	0.4595488519887546
245.0	0.4315615412614872	0.46546347175635167	0.46454417789180535	0.45956241184329594
249.0	0.43152775388905784	0.46615233639743014	0.4645078082767038	0.4595759716978372
254.0	0.43152775388905784	0.46679729378622026	0.4645078082767038	0.4595929215160138
258.0	0.43152775388905784	0.46387884955831515	0.4645078082767038	0.45960648137055504
262.0	0.4313055037752368	0.46276240416106706	0.46426857241683184	0.4596200412250963
266.0	0.4313055037752368	0.46279934223445857	0.46426857241683184	0.4596336010796376
271.0	0.4313055037752368	0.46566543304212066	0.46426857241683184	0.45965055089781415
275.0	0.43152775388905784	0.46388357579343487	0.4645078082767038	0.4596641107523554
279.0	0.43152775388905784	0.46318277716784095	0.4645078082767038	0.4596776706068967
283.0	0.43152775388905784	0.466802517592473	0.4645078082767038	0.45969123046143795
288.0	0.4315615412614872	0.46734449480965	0.46454417789180535	0.4597081802796145
292.0	0.4315615412614872	0.46898931223657975	0.46454417789180535	0.4597217401341558
296.0	0.4315615412614872	0.4639285703290492	0.46454417789180535	0.45973529998869705
300.0	0.43170438657494703	0.4641511393115516	0.46469794033901723	0.4597488598432383
305.0	0.43170438657494703	0.46454417789180535	0.46469794033901723	0.45976580966141495
309.0	0.43170438657494703	0.46575576274630354	0.46469794033901723	0.4597793695159562
313.0	0.4315615412614872	0.46177928140400415	0.46454417789180535	0.4597929293704975
317.0	0.43119640842043144	0.4629493709438802	0.4641511393115516	0.45980648922503875
322.0	0.43119640842043144	0.4636959696281428	0.4641511393115516	0.4598234390432153
326.0	0.43119640842043144	0.46281316537449	0.4641511393115516	0.4598369988977566
330.0	0.43119640842043144	0.4653868522037834	0.4641511393115516	0.45985055875229786
334.0	0.43119640842043144	0.4674045913759183	0.4641511393115516	0.4598641186068391
338.0	0.4309896418356867	0.4674784325394131	0.4639285703290492	0.4598776784613804
343.0	0.4309896418356867	0.46342734099537675	0.4639285703290492	0.45989462827955696
347.0	0.43119640842043144	0.46636397102658206	0.4641511393115516	0.45990818813409823
351.0	0.4309896418356867	0.46469794033901723	0.4639285703290492	0.4599217479886395
355.0	0.4309896418356867	0.46388357579343487	0.4639285703290492	0.45993530784318076
360.0	0.430947841912101	0.46598358306458626	0.46388357579343487	0.45995225766135733
364.0	0.430947841912101	0.46536535936489476	0.46388357579343487	0.4599658175158986
368.0	0.430947841912101	0.4652220407353551	0.46388357579343487	0.45997937737043987
372.0	0.430947841912101	0.46242507750843315	0.46388357579343487	0.45999293722498114
377.0	0.430947841912101	0.46214941561693507	0.46388357579343487	0.46000988704315776
381.0	0.430947841912101	0.4638554346043884	0.46388357579343487	0.46002344689769903
385.0	0.43125711801454625	0.467826550905842	0.46421648871318216	0.46003700675224035
389.0	0.43125711801454625	0.45918715413583233	0.46421648871318216	0.4600505666067816
393.0	0.43170438657494703	0.4637686863851682	0.46469794033901723	0.4600641264613229
398.0	0.43170438657494703	0.46201561181117146	0.46469794033901723	0.46008107627949946
402.0	0.43125711801454625	0.4626784583706292	0.46421648871318216	0.4600946361340407
406.0	0.43125711801454625	0.4633782228426649	0.46421648871318216	0.460108195988582
