Time [sec]	T [mK]	T_loc/T_c	T_mc/Tc
249.0	0.6724982643818294	0.6638679806335928	0.643373048962578
254.0	0.6716314128066188	0.6630122535109761	0.6433823688072297
258.0	0.6723264421686963	0.6636983634439253	0.6433898252640262
262.0	0.6724944812688136	0.6638642460699049	0.6433972822372979
266.0	0.6723211754660952	0.6636931643298077	0.6434047397270115
271.0	0.6733631682629948	0.6647217850572507	0.6434140623153493
275.0	0.6719657663609269	0.6633423162496811	0.6434215209669354
279.0	0.6742354080831774	0.6655828312765819	0.6434289801348553
283.0	0.6731889857394435	0.664549837847427	0.6434364398190755
288.0	0.6731883840702721	0.6645492438995777	0.6434457651503476
292.0	0.6733351863886128	0.664694162278986	0.6434532259961219
296.0	0.6728342144826911	0.6641996194300999	0.6434606873580885
300.0	0.6731863279817389	0.6645472141971758	0.643468149236214
304.0	0.6731734911538751	0.6645345421064909	0.6434756116304651
309.0	0.6736972562578103	0.6650515856444328	0.6434849403490298
313.0	0.673015684266602	0.6643787603816407	0.6434924039044416
317.0	0.6730088769872964	0.6643720404612996	0.643499867975871
321.0	0.6724991103103548	0.6638688157061746	0.6435073325632844
326.0	0.6726467170385604	0.6640145281723203	0.6435166640231031
330.0	0.6736972562578103	0.6650515856444328	0.643524129771359
334.0	0.6738833869924292	0.6652353277319144	0.6435315960354908
338.0	0.6730050733251574	0.6643682856121989	0.6435390628154651
342.0	0.6740251004227957	0.665375222529907	0.6435465301112488
347.0	0.6729949638468042	0.6643583058704879	0.6435558649562845
351.0	0.6735292780153941	0.6648857630951571	0.6435633334125173
355.0	0.6728322161534379	0.6641976467457433	0.6435708023844513
359.0	0.6714716932037845	0.6628545836167666	0.6435782718720531
364.0	0.6723238089230108	0.6636957639911262	0.6435876094566623
368.0	0.6728342643716587	0.664199668678834	0.6435950801043948
372.0	0.673015133548688	0.6643782167311827	0.643602551267687
376.0	0.6726575363131815	0.6640252086013638	0.6436100229465054
380.0	0.674586301045565	0.6659292211703506	0.6436174951408168
385.0	0.6730070753003474	0.6643702618957034	0.6436268361085674
389.0	0.6733352365274641	0.664694211774397	0.6436343094626162
393.0	0.6718134392792763	0.663191944007183	0.64364178333205
397.0	0.6723271379714788	0.6636990503173533	0.6436492577168352
402.0	0.6723027449638721	0.6636749703493309	0.643658601422479
406.0	0.671291106536728	0.6626763144488924	0.6436660769666833
410.0	0.6716426592895459	0.6630233556658894	0.6436735530261309
414.0	0.6714648985619078	0.6628478761716761	0.6436810296007885
418.0	0.6717891290506941	0.6631679457558679	0.6436885066906228
423.0	0.6724967708992153	0.6638665063170932	0.6436978537773322
427.0	0.674551412699202	0.6658947805520258	0.6437053320261923
431.0	0.6730132317538846	0.664376339342433	0.6437128107901209
435.0	0.6719729435492354	0.6633494013319206	0.6437202900690848
440.0	0.6706250241581984	0.6620187800179649	0.643729639892007
444.0	0.6730070753003474	0.6643702618957034	0.6437371203296783
448.0	0.6718088930704198	0.6631874561405922	0.6437446012822765
452.0	0.6726550933105955	0.6640227969502424	0.6437520827497685
457.0	0.6728322662745541	0.6641976962236468	0.6437614353081519
461.0	0.6719657663609269	0.6633423162496811	0.6437689179340329
465.0	0.673014332656976	0.6643774261174492	0.6437764010746994
469.0	0.6706239506831935	0.6620177203190459	0.643783884730118
473.0	0.6735309390271595	0.6648874027908782	0.6437913689002556
478.0	0.6742333786314703	0.665580827869171	0.6438007248367003
482.0	0.6752844076368092	0.666618368841865	0.6438082101648336
486.0	0.6721510154261523	0.6635251879823814	0.6438156960075776
490.0	0.6733586463494703	0.6647173211742057	0.6438231823648989
495.0	0.672155280447214	0.6635293982697078	0.6438325410351244
499.0	0.6728361127961762	0.6642014933822076	0.6438400285501231
503.0	0.6735152351109264	0.6648719004056529	0.6438475165795913
507.0	0.6721510154261523	0.6635251879823814	0.643855005123495
512.0	0.6717974295020213	0.663176139686102	0.6438643665267496
516.0	0.672149577236496	0.6635237682492557	0.6438718562280125
520.0	0.6709588243063536	0.6623482964524715	0.6438793464436029
524.0	0.6726525005565236	0.6640202374694212	0.6438868371734879
528.0	0.6730165351020787	0.6643796002982021	0.6438943284176339
533.0	0.6719707657816798	0.6633472515120236	0.6439036931959453
537.0	0.6724982643818294	0.6638679806335928	0.6439111855970571
541.0	0.6719829927742467	0.6633593215935308	0.6439186785123218
545.0	0.6730070252872338	0.6643702125244164	0.6439261719417059
550.0	0.6724914449505377	0.663861248717214	0.6439355394513661
554.0	0.6713010347764339	0.6626861152778223	0.6439430340373976
558.0	0.6719821511260307	0.6633584907463285	0.6439505291374404
562.0	0.6726635698169048	0.6640311646761153	0.6439580247514615
567.0	0.6724775093716744	0.6638474919759866	0.6439673949917186
