dT(F1)/dT(F2)	T_mc/Tc
0.22221232770421864	0.6476226256887396
0.25035560650630406	0.6552037675759592
0.19603815469158428	0.6632076264987925
0.2967164387030566	0.6695835932094704
0.2311112951457274	0.6761747908876105
0.19033587473136035	0.6829643841467292
0.21863157798397664	0.689955106901672
0.24404021200742812	0.6971175460320707
0.1829218846568134	0.7044511488938651
0.13764524226221242	0.711928494954784
0.16973436733038436	0.7195482533239699
0.2772804233166051	0.7273002539310911
0.19732689869150016	0.7351670192506334
0.18556333798829977	0.7431312784736369
0.23711058188625544	0.7511831531954783
0.0978833213356147	0.7593133590721336
0.18378866428173837	0.7675060404683681
0.24574631502285474	0.7757474727574982
0.11905582818840188	0.7840363823400069
0.1693569807429277	0.7802529365486995
0.18669963369188167	0.7885512730321363
0.9908650919794234	0.7968625080286033
0.14589483431097847	0.7930668721959233
0.07940067371297449	0.8013949617103568
0.13254074642851232	0.8097052234379755
0.24869894661965333	0.8180221861226796
0.042863936391854686	0.8262912567031526
0.280795032803568	0.8345284436753828
0.12443402989748943	0.8427163341645414
0.08757202864242428	0.8508371579926148
0.1447784366942554	0.8588789430441993
0.1962767879490369	0.8668356873446876
0.15561920503113247	0.877097860082856
0.1566053057592081	0.8871451411377637
0.1760573516532031	0.8969716942845786
0.08904764616756015	0.90652202874491
0.10917729049350902	0.9157837453098259
0.04764965023392516	0.9247249298531975
0.05861718699175152	0.9333233057449698
-0.02262365181668256	0.9415386444563759
0.11190465290086635	0.9493443106690864
0.15825893788968726	0.9567229797445151
0.12400159522136292	0.9636349349052535
0.29215928059238205	0.9700523682516364
0.42842318320892453	0.9759517259269684
0.6446646414163439	0.9812954396513093
0.6597453263521318	0.986069254940438
15.636855185225004	0.990229029769535
0.706569967266151	0.9937608079452178
1.2543570958832233	0.9966220710925443
-0.5243346478846737	0.9987939391223976
-0.5175086593316611	1.0002422300089158
0.5519814615464681	1.0009420783340215
-11.213675772381142	1.0008626921813475
