Time [sec]	T [mK]	T_loc/T_c	T_mc/Tc
0.0	0.44774599163859147	0.4819655453590866	0.45873187075264316
4.0	0.4472999938666505	0.4814854616433267	0.4587454306071844
8.0	0.44796987654881265	0.48220654095674126	0.4587589904617257
13.0	0.44712907999039364	0.48130148545790485	0.45877594027990226
17.0	0.4472124969015205	0.48139127761197037	0.45878950013444353
21.0	0.44682476313532304	0.4809739108022853	0.4588030599889848
25.0	0.4477674088977894	0.48198859945940725	0.45881661984352606
29.0	0.44768522036039754	0.4819001295590931	0.45883017969806733
34.0	0.44737905382991056	0.481570563864274	0.45884712951624396
38.0	0.44743744447824085	0.48163341709175544	0.4588606893707852
42.0	0.4469162299891871	0.4810723681261433	0.4588742492253265
46.0	0.4467524758984267	0.4808960989218802	0.45888780907986776
51.0	0.4467372940633813	0.48087975679588946	0.45890475889804433
55.0	0.4465233096147748	0.48064941831515046	0.4589183187525856
59.0	0.44745375332041115	0.48165097235781607	0.45893187860712686
63.0	0.44703574193084444	0.4812010139191006	0.45894543846166813
68.0	0.44737126919974696	0.4815621842839041	0.4589623882798447
72.0	0.4466824328449207	0.48082070273941946	0.45897594813438597
76.0	0.4469074685655266	0.481062937099598	0.45898950798892724
80.0	0.4476120153175878	0.4818213297282969	0.4590030678434685
85.0	0.4479132690968324	0.48214560720864624	0.4590200176616451
89.0	0.44729008624849814	0.4814747968229259	0.45903357751618634
93.0	0.44737762313764	0.48156902382953715	0.4590471373707276
97.0	0.44660497864035925	0.48073732899931026	0.4590606972252689
101.0	0.44722238125927627	0.48140191739426935	0.45907425707981014
106.0	0.4472124969015205	0.48139127761197037	0.45909120689798677
110.0	0.4469090863689102	0.48106467854565144	0.4591047667525281
114.0	0.4472842596957296	0.4814685249684926	0.45911832660706936
118.0	0.4473532386159239	0.48154277568990733	0.4591318864616106
122.0	0.44816000882497375	0.48241120433258744	0.4591454463161519
127.0	0.44682476313532304	0.4809739108022853	0.45916239613432847
131.0	0.44737764428121785	0.48156904658903965	0.45917595598886973
135.0	0.4467453993481207	0.4808884815372666	0.459189515843411
139.0	0.44691492727586746	0.4810709658513105	0.45920307569795227
144.0	0.4467524758984267	0.4808960989218802	0.45922002551612884
148.0	0.4477522040402103	0.4819722325513566	0.4592335853706701
152.0	0.4466781711791536	0.48081611537045593	0.4592471452252114
156.0	0.4468360215963015	0.4809860297053837	0.45926070507975264
161.0	0.44682997221832094	0.4809795179960397	0.4592776548979292
165.0	0.4465201625224965	0.48064603070236434	0.4592912147524705
169.0	0.44752297345170733	0.4817254827251962	0.45930477460701175
173.0	0.44727786513817946	0.4814616416987938	0.459318334461553
178.0	0.4467540927530569	0.48089783934667046	0.45933528427972964
182.0	0.4475425694963557	0.4817465764223419	0.4593488441342709
186.0	0.4473658409954222	0.48155634122219826	0.4593624039888122
