dT(F1)/dT(F2)	T_mc/Tc
0.19939831737215552	0.4630458028764025
0.2810938694755679	0.4722846741695509
0.21488821644807368	0.48147486558489616
0.19091983263083462	0.4906915665158697
0.21059870362824856	0.4998686726715826
0.1675214821915182	0.509066457605471
0.27992301245255935	0.5182647849335409
0.15588607150161482	0.5274631122616109
0.285514685498616	0.536647337340958
0.3130676469958738	0.5458470206544821
0.1523043110783888	0.5550278557701939
0.31957118720531313	0.5642213015506291
0.06137384661455423	0.5734116963637924
0.2775876789653516	0.5826046675493187
0.14216856487435445	0.5917909266068468
0.3520126977013606	0.6010051867640029
0.18779630294788272	0.6102026327015277
0.15287344684463544	0.6194406226041311
0.10937392008674551	0.6286369837532926
0.3892782363293478	0.637877211031895
0.32072208886892767	0.647073707779602
0.05666996095760848	0.6563165114305674
0.21069826943362346	0.6655180253244547
0.15883998303855953	0.6747398790001538
0.2718016141725216	0.683954071358037
0.18173808480148493	0.6932241303166303
0.2336084598245998	0.7024471365799655
0.4045333081424423	0.7117203143051033
0.1533624731500688	0.7209376932288037
-0.043484502992227336	0.7302060572055795
0.10456567101759692	0.7394116390558291
0.31083841973915677	0.7486810200216955
0.30087533890133733	0.7579565707213779
0.07284629912377916	0.7672916491824965
0.16144151164403683	0.7765533010312744
0.2984127248621478	0.7858854641236664
0.10806410259171885	0.7951611504218946
0.3703580894520987	0.8045038224015565
0.21706896531416198	0.8137677116263333
1.717128703086094	0.8231011629049072
0.2562343410739154	0.8323737304365906
0.2635577783392526	0.8417089444962549
0.06455553735397188	0.8509794102504844
0.5715120809316792	0.8603086579741503
0.4755554814028315	0.8695791915276526
0.44976376545076974	0.8789162361676798
0.18779878772170427	0.8881812779800927
0.1848678323619198	0.900731262354401
0.5858736701670983	0.9132262615185445
0.310288052324244	0.9257650590128562
0.5256066530211707	0.9382292095079183
0.4751329399662717	0.9507833974371341
5.0613689985506	0.963257785622375
