Time [sec]	T [mK]	T_loc/T_c	T_mc/Tc
0.0	0.8655484812008232	0.37747426131741085	0.2715493821010531
5.0	0.8656848613841155	0.3775337380654668	0.2715781278380471
9.0	0.8658562664924161	0.377608489530055	0.27160112521354657
13.0	0.8658178876934528	0.3775917521558887	0.27162412328720714
17.0	0.865724846945342	0.3775511761645626	0.2716471220586407
21.0	0.8657394088700707	0.3775575267640954	0.27167012152745934
26.0	0.8658776711532985	0.37761782431456536	0.2716988718435894
30.0	0.8659541130725383	0.37765116139229754	0.2717218728801062
34.0	0.8658012491013998	0.3775844959011774	0.27174487461274754
38.0	0.8657999606302584	0.37758393398615714	0.27176787704112587
42.0	0.8659745158836993	0.37766005926022644	0.2717908801648536
47.0	0.8657992323664554	0.37758361638310306	0.271819635046758
51.0	0.8658569388664392	0.37760878275902277	0.2718426397336051
55.0	0.8659534404764391	0.3776508680664802	0.2718656451145426
59.0	0.8659002541992806	0.37762767300448347	0.27188865118918315
63.0	0.8657628774947299	0.3775677616636415	0.27191165795713956
67.0	0.8657245109094878	0.3775510296159999	0.27193466541802475
72.0	0.8656074818879169	0.3774999921011412	0.2719634257179729
76.0	0.8657844434004085	0.37757716676860376	0.27198643473653306
80.0	0.8658405782022491	0.37760164771140386	0.2720094444467646
84.0	0.8659774306863159	0.37766133043450323	0.2720324548482807
88.0	0.8660142045169743	0.377677367866103	0.27205546594069474
93.0	0.8657856197681397	0.377577679794217	0.27208423077719845
97.0	0.8657044614670073	0.3775422858556508	0.27210724342271947
101.0	0.8657408090932943	0.377558137415305	0.2721302567578822
105.0	0.8658990213331705	0.37762713533936787	0.2721532707823004
109.0	0.8658776711532985	0.37761782431456536	0.27217628549558776
114.0	0.8659547856701635	0.37765145471878037	0.272205054855331
118.0	0.8658583396505626	0.3776093936548463	0.2722280711171622
122.0	0.8660179606388101	0.37767900594802006	0.27225108806660775
126.0	0.8658419228800076	0.37760223413868627	0.2722741057032818
130.0	0.865936738166007	0.37764358402355297	0.27229712402679845
135.0	0.866036798030497	0.37768722112101916	0.2723258978964791
139.0	0.8659377470035157	0.3776440239875777	0.27234891776398135
143.0	0.8659561308700368	0.3776520413737622	0.2723719383170728
147.0	0.8660138681501888	0.37767722117321795	0.27239495955536785
151.0	0.8660719531628036	0.37770255262224317	0.2724179814784812
156.0	0.8662111569269766	0.3777632607618738	0.2724467598448114
160.0	0.8659767580370055	0.3776610370854799	0.27246978330735694
164.0	0.8660558048312779	0.37769551017500125	0.27249280745346866
168.0	0.8660154939265414	0.37767793019038	0.2725158322827613
172.0	0.8660361252458166	0.3776869277129597	0.27253885779485004
176.0	0.8660709999381648	0.37770213691154153	0.27256188398934983
181.0	0.8659958170285131	0.3776693489003546	0.27259066769152884
185.0	0.8660896724863374	0.37771028019465214	0.27261369542004654
189.0	0.8658246666494529	0.3775947085257099	0.2726367238297248
193.0	0.8661357140466079	0.37773035937488353	0.272659752920179
197.0	0.8661145710518063	0.37772113870554136	0.2726827826910247
202.0	0.8659184115529475	0.37763559160616983	0.2727115708607965
206.0	0.8660732988969255	0.37770313951021606	0.27273460216111745
210.0	0.8659994607994803	0.3776709379849456	0.27275763414058063
214.0	0.8659986199252754	0.37767057127138043	0.27278066679880186
218.0	0.8659783275544601	0.3776617215675796	0.27280370013539706
223.0	0.8662292211942257	0.37777113876765184	0.2728324927595195
227.0	0.8661314516767602	0.37772850051319673	0.27285552762105214
231.0	0.8660168394034047	0.3776785169661599	0.27287856315971104
235.0	0.8661330220163928	0.3777291853538564	0.2729015993751122
239.0	0.8659607270159309	0.37765404579848705	0.27292463626687213
244.0	0.8660742521289793	0.37770355522415144	0.2729534333321169
248.0	0.8660552441411768	0.3776952656524975	0.27297647174428136
252.0	0.8662495868889106	0.3777800204487181	0.272999510831558
256.0	0.8662502601588637	0.3777803140684098	0.27302255059356345
260.0	0.8660573186998639	0.37769617038807846	0.2730455910299145
265.0	0.8660955043947345	0.3777128235476382	0.27307439252306787
269.0	0.866017400020576	0.37767876145685825	0.2730974344752954
273.0	0.865995536740285	0.37766922666388353	0.27312047710062337
277.0	0.8660960651612366	0.3777130681034612	0.2731435203986688
281.0	0.8660755418007575	0.3777041176627813	0.2731665643690488
285.0	0.8660775604287707	0.37770499800644164	0.2731896090113806
290.0	0.8659983396343818	0.3776704490337469	0.2732184157586446
294.0	0.866036798030497	0.37768722112101916	0.27324146191146875
298.0	0.8660376950791253	0.37768761233280645	0.2732645087350012
302.0	0.8661932620452633	0.3777554566268047	0.27328755622885953
306.0	0.866095840854503	0.3777129702810741	0.2733106043926612
311.0	0.8662331483543997	0.3777728514410814	0.27333941553893887
315.0	0.8661721149414143	0.3777462341654663	0.2733624652087156
319.0	0.8660578793939004	0.3776964149122985	0.2733855155471936
323.0	0.866230231030451	0.37777157916722676	0.27340856655399076
327.0	0.8661348727845395	0.3777299924921672	0.2734316182287252
332.0	0.866076102529385	0.3777043622020868	0.27346043376084817
336.0	0.8660766632590731	0.3777046067418548	0.2734834869370452
340.0	0.8663683304133944	0.37783180567527014	0.2735065407799386
344.0	0.8661704883036228	0.3777455247726222	0.2735295952891467
348.0	0.8662686634625034	0.37778833993131417	0.27355265046428806
353.0	0.866346834096658	0.3778224309187344	0.27358147036910213
357.0	0.8663077742687335	0.37780539654109613	0.27360452704119853
361.0	0.8663688355674415	0.3778320259779509	0.2736275843779886
365.0	0.8663095700103818	0.37780617968180624	0.2736506423790911
369.0	0.8661532689272451	0.3777380152321173	0.273673701044125
373.0	0.8663471147174322	0.37782255330023207	0.2736967603727091
378.0	0.8662889757494887	0.37779719832075387	0.2737255854659765
382.0	0.866367713004069	0.3778315364169511	0.27374864628615586
386.0	0.8664062754797754	0.37784835389436344	0.2737717077686477
390.0	0.8664819555048768	0.3778813587025193	0.27379476991307106
394.0	0.8662111008284832	0.37776323629676545	0.2738178327190455
399.0	0.8664635390135791	0.3778733270883467	0.27384666215623976
403.0	0.8663659169114535	0.37783075312318076	0.27386972644931257
407.0	0.8664847068465269	0.37788255858985037	0.27389279140269984
411.0	0.8663086721382034	0.3778057881108606	0.27391585701602117
415.0	0.8662102032539862	0.3777628448556416	0.2739389232888964
419.0	0.866076102529385	0.3777043622020868	0.27396199022094536
424.0	0.8663876952649883	0.3778402508787563	0.27399082481239057
428.0	0.8662516628095522	0.3777809257782609	0.27401389322619085
432.0	0.8663491351947461	0.3778234344503908	0.2740369622979299
436.0	0.8661553441736234	0.3777389202676072	0.2740600320272279
440.0	0.8663702387776206	0.3778326379318014	0.2740831024137051
445.0	0.8664475378019016	0.3778663488015271	0.27411194132038147
449.0	0.8662117179125097	0.37776350541321835	0.2741350131841238
453.0	0.8662530654668434	0.37778153749099147	0.2741580857038118
457.0	0.8663294922468627	0.37781486796635966	0.2741811588790659
461.0	0.8661908499651334	0.3777544046947812	0.2742042327095069
466.0	0.8662165424319035	0.37776560943388726	0.2742330759183368
470.0	0.8660396573825144	0.37768846811274065	0.2742561512215617
474.0	0.8663856183945522	0.3778393451349987	0.2742792271787411
478.0	0.8664461903706147	0.37786576117340365	0.2743023037894961
482.0	0.8662137935682188	0.37776441062722144	0.2743253810534478
487.0	0.866331231998478	0.37781562668926205	0.274354228551368
491.0	0.8661957863361893	0.37775655749506726	0.2743773072836271
495.0	0.8662135130733528	0.3777642883006336	0.274400386667852
499.0	0.8663699581350714	0.37783251554080743	0.27442346670366397
503.0	0.8663292116427206	0.37781474559211536	0.2744465473906846
508.0	0.8663483494519375	0.3778230917801733	0.2744753991646461
512.0	0.8665625410036193	0.37791650283629274	0.27449848131550264
516.0	0.8664855490990346	0.377882925904507	0.2745215641163383
520.0	0.8664073420529572	0.3778488190374868	0.2745446475667748
524.0	0.8665017208078116	0.3778899785467996	0.2745677316664341
528.0	0.8663871339472311	0.37784000608252555	0.2745908164149382
533.0	0.866465279547985	0.3778740861526319	0.2746196732624306
537.0	0.8664278883650334	0.3778577794875854	0.27464275946945377
541.0	0.8661779484744923	0.3777487782269918	0.27466584632409374
545.0	0.8664458535137389	0.3778656142667854	0.27468893382597287
549.0	0.8663106923544279	0.37780666914715566	0.27471202197471345
554.0	0.8662743305631055	0.3777908114099893	0.2747408830697131
558.0	0.8664994746847996	0.37788899899031814	0.27476397267251196
562.0	0.866465279547985	0.3778740861526319	0.2747870629209457
566.0	0.8665431648063704	0.37790805268485406	0.274810153814637
570.0	0.8664453482291443	0.3778653939071715	0.27483324535320885
574.0	0.8664847068465269	0.37788255858985037	0.2748563375362839
579.0	0.8664284497595496	0.37785802431729154	0.2748852036708862
583.0	0.866367713004069	0.3778315364169511	0.27490829730271543
587.0	0.8663115341152405	0.3778070362473792	0.27493139157782287
591.0	0.8665023384945969	0.3778902479261216	0.2749544864958319
595.0	0.8665231721331117	0.3778993336821246	0.2749775820563657
600.0	0.8665821992973939	0.37792507601281894	0.27500645241000965
604.0	0.8663661975502088	0.3778308755125202	0.2750295494148474
608.0	0.866525418434243	0.37790031331628565	0.2750526470609863
612.0	0.8664269901360044	0.3778573877610137	0.2750757453480499
616.0	0.866465279547985	0.3778740861526319	0.275098844275662
621.0	0.8664863913539378	0.37788329322020836	0.2751277188353753
