dT(F1)/dT(F2)	T_mc/Tc
0.29506639547087854	0.28405563886088414
0.22279457387885865	0.31592605609810276
0.13170467932045313	0.3480022830095347
0.09715487724192556	0.3692735832256846
0.10883462579054191	0.3904232199096563
0.11619647543734428	0.41651233732433957
0.0795119609286961	0.4424049296277525
0.06258679418092256	0.4682124554030842
0.046829085739010116	0.4943696385646416
0.023360584680351057	0.5212228962807098
0.06089337672226929	0.5494836502646449
0.04804186311039759	0.5797764622196472
0.12512273238576063	0.6130035421216409
0.40466639714630737	0.6501337225728231
0.12865981504441573	0.7014251616744581
0.38462659108454067	0.7512063237269314
0.2402165510058446	0.8090313157793673
0.9236459433286672	0.876358256057001
0.08047112136049729	0.9547391023707641
