Time [sec]	T [mK]	RawT_loc/T_c	FawT_loc/T_c	T_mc/Tc
0.0	0.6231737653186764	0.27177224828551083	0.27177224828551083	0.2715493821010531
5.0	0.6232658526919597	0.27188392449041004	0.27181240850063654	0.2715781278380471
9.0	0.6234298388565103	0.27181240850063654	0.27188392449041004	0.27160112521354657
13.0	0.6234325464900268	0.2718851053161913	0.2718851053161913	0.27162412328720714
17.0	0.6236909637238677	0.2720287115328741	0.2719978036301211	0.2716471220586407
21.0	0.6237618355448804	0.2719978036301211	0.2720287115328741	0.27167012152745934
26.0	0.6237733208468468	0.27203372038676266	0.27203372038676266	0.2716988718435894
30.0	0.6238690160440257	0.2720754540096056	0.2720754540096056	0.2717218728801062
34.0	0.6240093128365309	0.27227618455816593	0.27213663882971256	0.27174487461274754
38.0	0.6241472591962287	0.27213663882971256	0.2721967986028036	0.27176787704112587
42.0	0.6243073077813497	0.272266597375207	0.272266597375207	0.2717908801648536
47.0	0.6243292911918745	0.2721967986028036	0.27227618455816593	0.271819635046758
51.0	0.6243870624281982	0.27231230549927005	0.2723013791662443	0.2718426397336051
55.0	0.6244121165098262	0.2723013791662443	0.27231230549927005	0.2718656451145426
59.0	0.6245109707454786	0.27248530081711897	0.27235541681006475	0.27188865118918315
63.0	0.624685087072554	0.27235541681006475	0.27243135066400087	0.27191165795713956
67.0	0.6247542394763927	0.27243135066400087	0.2724615087119026	0.27193466541802475
72.0	0.6248087947736538	0.2724615087119026	0.27248530081711897	0.2719634257179729
76.0	0.6251073518393389	0.272640108554626	0.272615504509088	0.27198643473653306
80.0	0.6251637689157574	0.272615504509088	0.272640108554626	0.2720094444467646
84.0	0.6255205010054237	0.27279568295046824	0.27279568295046824	0.2720324548482807
88.0	0.6255892694755945	0.27282567356109655	0.27282567356109655	0.27205546594069474
93.0	0.6256561849485269	0.2728548560612852	0.2728548560612852	0.27208423077719845
97.0	0.6257252325950393	0.27288496842347987	0.27288496842347987	0.27210724342271947
101.0	0.6257851836585635	0.27292317591027154	0.27291111367577997	0.2721302567578822
105.0	0.6258128423622527	0.272929964663402	0.27292317591027154	0.2721532707823004
109.0	0.6258284089731809	0.27291111367577997	0.272929964663402	0.27217628549558776
114.0	0.625849392733592	0.2729391158890501	0.2729391158890501	0.272205054855331
118.0	0.6259621087487739	0.2729882724591251	0.2729882724591251	0.2722280711171622
122.0	0.6259977275777775	0.27300380618306913	0.27300380618306913	0.27225108806660775
126.0	0.6262860494861187	0.2731762897041424	0.2731295462215956	0.2722741057032818
130.0	0.6263932322915986	0.2731295462215956	0.2731762897041424	0.27229712402679845
135.0	0.6266646338123527	0.2733254623972641	0.2732946505941355	0.2723258978964791
139.0	0.6267352852769266	0.2732946505941355	0.2733254623972641	0.27234891776398135
143.0	0.626780055059279	0.27334498694255516	0.27334498694255516	0.2723719383170728
147.0	0.6268708722170766	0.27338459320413283	0.27338459320413283	0.27239495955536785
151.0	0.6269320822426554	0.2734112875022483	0.2734112875022483	0.2724179814784812
156.0	0.6269556892100487	0.2734215827344303	0.2734215827344303	0.2724467598448114
160.0	0.6270261257712422	0.27354794829930684	0.2734523008160672	0.27246978330735694
164.0	0.6271594553791342	0.2734523008160672	0.27351044717799133	0.27249280745346866
168.0	0.6272454454503107	0.27364458290740545	0.27354794829930684	0.2725158322827613
172.0	0.6273890360324144	0.27351044717799133	0.2736105695736652	0.27253885779485004
176.0	0.6274072101041739	0.2736105695736652	0.2736184954662773	0.27256188398934983
181.0	0.6274391606422727	0.27363242941224275	0.27363242941224275	0.27259066769152884
185.0	0.6274512395747545	0.2736184954662773	0.2736376971542758	0.27261369542004654
189.0	0.6274670286066808	0.2737208448135711	0.27364458290740545	0.2726367238297248
193.0	0.6276418971575186	0.2736376971542758	0.2737208448135711	0.272659752920179
197.0	0.6277050024774775	0.2737483656683286	0.2737483656683286	0.2726827826910247
202.0	0.6277839525191924	0.2737827965631018	0.2737827965631018	0.2727115708607965
206.0	0.6278877439287083	0.27383487919280197	0.2738280610242949	0.27273460216111745
210.0	0.627903377989095	0.2738280610242949	0.27383487919280197	0.27275763414058063
214.0	0.6281014969950887	0.2739351122192857	0.2739212808526335	0.27278066679880186
218.0	0.6281099568304525	0.27392497027058543	0.27392497027058543	0.27280370013539706
223.0	0.6281332123188221	0.2739212808526335	0.2739351122192857	0.2728324927595195
227.0	0.6281413639244278	0.2739386672151887	0.2739386672151887	0.27285552762105214
231.0	0.6282937324612856	0.2740051166425144	0.2740051166425144	0.27287856315971104
235.0	0.6283453143299127	0.2740445640911849	0.27402761200606746	0.2729015993751122
239.0	0.628384185461087	0.2740644000786903	0.2740445640911849	0.27292463626687213
244.0	0.628429669380437	0.27402761200606746	0.2740644000786903	0.2729534333321169
248.0	0.6284545912955135	0.27407526877257454	0.27407526877257454	0.27297647174428136
252.0	0.6285228704271395	0.27414721937054143	0.2741050459778192	0.272999510831558
256.0	0.6285619352870606	0.2741471534405375	0.274122082549961	0.27302255059356345
260.0	0.6286194228391526	0.274122082549961	0.2741471534405375	0.2730455910299145
265.0	0.6286195740166516	0.2741050459778192	0.27414721937054143	0.27307439252306787
269.0	0.6286212747318904	0.2741479610692937	0.2741479610692937	0.2730974344752954
273.0	0.6286276743716801	0.27415075201556044	0.27415075201556044	0.27312047710062337
277.0	0.6286289504575038	0.2741628123738384	0.274151308529221	0.2731435203986688
281.0	0.6286553287732115	0.27419654142925043	0.2741628123738384	0.2731665643690488
285.0	0.6287326694972712	0.274151308529221	0.27419654142925043	0.2731896090113806
290.0	0.6287887236369052	0.2742305624937797	0.27422098719446364	0.2732184157586446
294.0	0.6288106797982369	0.27422098719446364	0.2742305624937797	0.27324146191146875
298.0	0.6288643095634177	0.2742539509652933	0.2742539509652933	0.2732645087350012
302.0	0.6288744280829857	0.2742583637518472	0.2742583637518472	0.27328755622885953
306.0	0.6288969820841395	0.2742681997750281	0.2742681997750281	0.2733106043926612
311.0	0.6289269305313585	0.2742812605893408	0.2742812605893408	0.27333941553893887
315.0	0.6289867444313408	0.27430734602326245	0.27430734602326245	0.2733624652087156
319.0	0.6290144213329452	0.27433378788659213	0.274319416194045	0.2733855155471936
323.0	0.629039145571129	0.274319416194045	0.2743301986790794	0.27340856655399076
327.0	0.6290434251962331	0.2743301986790794	0.27433206506595426	0.2734316182287252
332.0	0.6290473756239559	0.27434442419600236	0.27433378788659213	0.27346043376084817
336.0	0.6290717646814334	0.27433206506595426	0.27434442419600236	0.2734834869370452
340.0	0.6290908815345126	0.2743527612448812	0.2743527612448812	0.2735065407799386
344.0	0.629104363962596	0.27435864106524027	0.27435864106524027	0.2735295952891467
348.0	0.629128866904086	0.2743693270405957	0.2743693270405957	0.27355265046428806
353.0	0.6291463941048425	0.2743890281390997	0.2743769708263596	0.27358147036910213
357.0	0.6291740415229556	0.2743897832332109	0.2743890281390997	0.27360452704119853
361.0	0.6291757729537526	0.2743769708263596	0.2743897832332109	0.2736275843779886
365.0	0.6291818901862438	0.27439245101885906	0.27439245101885906	0.2736506423790911
369.0	0.6292276751565025	0.2744142007413395	0.27441241829764607	0.273673701044125
373.0	0.6292317622998915	0.27441241829764607	0.2744142007413395	0.2736967603727091
378.0	0.6292381773979381	0.2744169984291051	0.2744169984291051	0.2737255854659765
382.0	0.6292539052004908	0.27442540745263816	0.2744238574794988	0.27374864628615586
386.0	0.6292574592888993	0.2744262007601157	0.27442540745263816	0.2737717077686477
390.0	0.6292575782656753	0.274425459339588	0.274425459339588	0.27379476991307106
394.0	0.6292592783429454	0.2744238574794988	0.2744262007601157	0.2738178327190455
399.0	0.6293055797674088	0.27444639326969417	0.27444639326969417	0.27384666215623976
403.0	0.6293103919842826	0.27444849192511234	0.27444849192511234	0.27386972644931257
407.0	0.6293210566478527	0.2744531428904721	0.2744531428904721	0.27389279140269984
411.0	0.6293340038239972	0.2744608331208596	0.27445878928216183	0.27391585701602117
415.0	0.6293386903461311	0.27447090401170604	0.2744608331208596	0.2739389232888964
419.0	0.629361782898842	0.27445878928216183	0.27447090401170604	0.27396199022094536
424.0	0.6293637651771053	0.27447176850288063	0.27447176850288063	0.27399082481239057
428.0	0.6293801903250005	0.27447893167248166	0.27447893167248166	0.27401389322619085
432.0	0.6294201845698861	0.27449712256564035	0.2744963735586071	0.2740369622979299
436.0	0.6294219020430134	0.2744963735586071	0.27449712256564035	0.2740600320272279
440.0	0.6294271192623064	0.2745047092374949	0.2744993978466229	0.2740831024137051
445.0	0.6294375738715718	0.2744993978466229	0.274503957205221	0.27411194132038147
449.0	0.629439298281576	0.2745122887279324	0.2745047092374949	0.2741350131841238
453.0	0.6294547573437033	0.27451145108752867	0.27451145108752867	0.2741580857038118
457.0	0.629456678053149	0.274503957205221	0.2745122887279324	0.2741811588790659
461.0	0.6294842634478011	0.2745249928911848	0.27452431899162716	0.2742042327095069
466.0	0.6294858086994868	0.2745490043841712	0.2745249928911848	0.2742330759183368
470.0	0.6295134570163556	0.274538368840112	0.2745370505958812	0.2742561512215617
474.0	0.629516479750377	0.2745370505958812	0.274538368840112	0.2742792271787411
478.0	0.629539292264135	0.27452431899162716	0.2745483176031988	0.2743023037894961
482.0	0.6295408670529046	0.2745483176031988	0.2745490043841712	0.2743253810534478
487.0	0.6295565281530768	0.2745558343449964	0.2745558343449964	0.274354228551368
491.0	0.6295636123087371	0.27456554446047476	0.27455892381541086	0.2743773072836271
495.0	0.6295787934478687	0.27455892381541086	0.27456554446047476	0.274400386667852
499.0	0.6296136179822174	0.2745807317846565	0.2745807317846565	0.27442346670366397
503.0	0.6296252599067227	0.27458927594005605	0.27458580894318474	0.2744465473906846
508.0	0.6296332097305486	0.2745936163164051	0.27458927594005605	0.2744753991646461
512.0	0.629643162213517	0.27458580894318474	0.2745936163164051	0.27449848131550264
516.0	0.6296472512122389	0.27459539956922757	0.27459539956922757	0.2745215641163383
520.0	0.6296712338886614	0.2746135230090801	0.2746058586518366	0.2745446475667748
524.0	0.6296888082598207	0.2746058586518366	0.2746135230090801	0.2745677316664341
528.0	0.6297472923295384	0.2746390284908584	0.2746390284908584	0.2745908164149382
533.0	0.629788009148287	0.27466022121285855	0.2746567854985988	0.2746196732624306
537.0	0.6297958872410847	0.27466162615960255	0.27466022121285855	0.27464275946945377
541.0	0.6297991087839687	0.2746567854985988	0.27466162615960255	0.27466584632409374
545.0	0.6298066404035882	0.2746649107734794	0.2746649107734794	0.27468893382597287
549.0	0.6298122168535452	0.27466864142802067	0.27466734271851073	0.27471202197471345
554.0	0.6298151947944515	0.27466734271851073	0.27466864142802067	0.2747408830697131
558.0	0.6298733854176239	0.2746940189348556	0.2746940189348556	0.27476397267251196
562.0	0.6299063279937558	0.27470838551842813	0.27470838551842813	0.2747870629209457
566.0	0.6299389164356048	0.27472259766053414	0.27472259766053414	0.274810153814637
570.0	0.6299826785536471	0.27474635994359053	0.27474168275344396	0.27483324535320885
574.0	0.6299934033506531	0.27474168275344396	0.27474635994359053	0.2748563375362839
579.0	0.6300387007035733	0.27479823964808514	0.27476611456762895	0.2748852036708862
583.0	0.6300669628574109	0.27476611456762895	0.2747784399727043	0.27490829730271543
587.0	0.6301123635130592	0.2747784399727043	0.27479823964808514	0.27493139157782287
591.0	0.6301645760878554	0.2748210100688423	0.2748210100688423	0.2749544864958319
595.0	0.6301752647084813	0.2748256714821113	0.2748256714821113	0.2749775820563657
600.0	0.6301857758202161	0.2748454460142503	0.27483025548199563	0.27500645241000965
604.0	0.630220607710676	0.27483025548199563	0.2748454460142503	0.2750295494148474
608.0	0.630244016022071	0.2748690875970225	0.2748556546105848	0.2750526470609863
612.0	0.6302742719060985	0.2748556546105848	0.2748688495011332	0.2750757453480499
616.0	0.6302748178599726	0.2748688495011332	0.2748690875970225	0.275098844275662
621.0	0.63037602620079	0.27491322555638464	0.27491322555638464	0.2751277188353753
625.0	0.6304067604409367	0.2749526866563326	0.2749266290627722	0.2751508192028461
629.0	0.630408272444904	0.2749272884626707	0.2749272884626707	0.27517392020964304
633.0	0.6304665105029708	0.2749266290627722	0.2749526866563326	0.27519702185539013
637.0	0.6305754601015661	0.27500230355704985	0.2750002006548478	0.27522012413971153
642.0	0.6305802820563153	0.2750002006548478	0.27500230355704985	0.2752490028925359
646.0	0.6306292217887668	0.2750236466588603	0.2750236466588603	0.27527210661227564
650.0	0.6306798413597337	0.2750457223548773	0.2750457223548773	0.27529521096936865
654.0	0.6307326987230528	0.2750687739742925	0.2750687739742925	0.2753183159634395
658.0	0.6307444515780283	0.275073899510697	0.275073899510697	0.2753414215941125
663.0	0.630971738606414	0.2751793845526146	0.2751730216338482	0.27537030452710404
667.0	0.6309863287791453	0.2751730216338482	0.2751793845526146	0.27539341158875996
671.0	0.6310631581425223	0.27521289059857057	0.27521289059857057	0.2754165192857985
675.0	0.6310826293337835	0.27522363248859066	0.27522138217783837	0.27543962761784463
679.0	0.6310877892963385	0.2752828238936628	0.27522363248859066	0.27546273658452314
684.0	0.6311477053995089	0.27524976249433447	0.27524976249433447	0.27549162368475205
688.0	0.6312235151881689	0.27522138217783837	0.2752828238936628	0.2755147340779829
692.0	0.6312300018707404	0.2752945477353035	0.27528565280014844	0.2755378451046278
696.0	0.631250397957051	0.27528565280014844	0.2752945477353035	0.27556095676431225
700.0	0.6313009915483621	0.27534686565930866	0.2753166121013354	0.27558406905666144
705.0	0.6313703629567948	0.2753166121013354	0.27534686565930866	0.27561296031121224
709.0	0.631434352884181	0.27539394625873526	0.27537477230012253	0.275636074025688
713.0	0.63147831877128	0.27537477230012253	0.27539394625873526	0.2756591883716116
717.0	0.6315932437620271	0.2754440661849224	0.2754440661849224	0.27568230334860866
721.0	0.6317199138978848	0.2754993082851656	0.2754993082851656	0.2757054189563051
725.0	0.6317633821092423	0.27551826520246064	0.27551826520246064	0.2757285351943267
730.0	0.6318094010768771	0.2755383345298199	0.2755383345298199	0.2757574313776787
734.0	0.6318665441743452	0.27558780255221893	0.275563255200325	0.27578054903256455
738.0	0.6318893435072628	0.2755731982151168	0.2755731982151168	0.2758036673165602
742.0	0.631922831252238	0.275563255200325	0.27558780255221893	0.2758267862292918
